size,try_no,vector*vector,vector*matrix
7301,3,0.000035,0.446359
7301,4,0.000036,0.434482
7301,5,0.000034,0.444357
7301,6,0.000035,0.405992
7301,7,0.000033,0.399148
7301,8,0.000032,0.404510
7301,9,0.000033,0.399248
7401,0,0.000075,0.423788
7401,1,0.000033,0.419637
7401,2,0.000029,0.405103
7401,3,0.000033,0.408604
7401,4,0.000033,0.397769
7401,5,0.000033,0.396757
7401,6,0.000033,0.394044
7401,7,0.000033,0.407720
7401,8,0.000033,0.385962
7401,9,0.000062,0.389363
7501,0,0.000033,0.400974
7501,1,0.000033,0.403796
7501,2,0.000033,0.409463
7501,3,0.000032,0.409455
7501,4,0.000032,0.416666
7501,5,0.000033,0.400560
7501,6,0.000052,0.403691
7501,7,0.000033,0.408248
7501,8,0.000033,0.415225
7501,9,0.000034,0.419406
7601,0,0.000035,0.441132
7601,1,0.000034,0.411388
7601,2,0.000034,0.430261
7601,3,0.000068,0.484222
7601,4,0.000034,0.472448
7601,5,0.000033,0.493824
7601,6,0.000038,0.442459
7601,7,0.000049,0.415262
7601,8,0.000034,0.421235
7601,9,0.000033,0.422527
7701,0,0.000036,0.485363
7701,1,0.000035,0.477980
7701,2,0.000047,0.500671
7701,3,0.000035,0.436927
7701,4,0.000061,0.432680
7701,5,0.000034,0.445145
7701,6,0.000035,0.435757
7701,7,0.000033,0.430146
7701,8,0.000034,0.422366
7701,9,0.000034,0.464918
7801,0,0.000034,0.447216
7801,1,0.000034,0.437550
7801,2,0.000033,0.447247
7801,3,0.000035,0.452736
7801,4,0.000046,0.444853
7801,5,0.000035,0.457078
7801,6,0.000034,0.431973
7801,7,0.000049,0.448699
7801,8,0.000035,0.441772
7801,9,0.000035,0.450186
7901,0,0.000035,0.482014
7901,1,0.000169,0.489947
7901,2,0.000053,0.486543
7901,3,0.000034,0.503351
7901,4,0.000061,0.479191
7901,5,0.000035,0.478871
7901,6,0.000034,0.470645
7901,7,0.000034,0.471659
7901,8,0.000036,0.486934
7901,9,0.000036,0.456498
8001,0,0.000035,0.469595
8001,1,0.000036,0.510487
8001,2,0.000035,0.467775
8001,3,0.000035,0.474993
